Date,Mibor1m
5/25/2021,0.0362
5/27/2021,0.0363
5/28/2021,0.0362
5/31/2021,0.0363
6/1/2021,0.0363
6/2/2021,0.0363
6/3/2021,0.0363
6/4/2021,0.0363
6/7/2021,0.0363
6/8/2021,0.0363
6/9/2021,0.0364
6/10/2021,0.0364
6/11/2021,0.0364
6/14/2021,0.0365
6/15/2021,0.0365
6/16/2021,0.0365
6/17/2021,0.0365
6/18/2021,0.0365
6/21/2021,0.0366
6/22/2021,0.0366
6/23/2021,0.0366
6/24/2021,0.0366
6/25/2021,0.0367
6/28/2021,0.0367
6/29/2021,0.0366
6/30/2021,0.0366
7/1/2021,0.0365
7/2/2021,0.0366
7/5/2021,0.0367
7/6/2021,0.0367
7/7/2021,0.0367
7/8/2021,0.0366
7/9/2021,0.0366
7/12/2021,0.0366
7/13/2021,0.0365
7/14/2021,0.0365
7/15/2021,0.0365
7/16/2021,0.0365
7/19/2021,0.0365
7/20/2021,0.0365
7/22/2021,0.0365
7/23/2021,0.0365
7/26/2021,0.0365
7/27/2021,0.0365
7/28/2021,0.0365
7/29/2021,0.0365
7/30/2021,0.0365
8/2/2021,0.0365
8/3/2021,0.0365
8/4/2021,0.0365
8/5/2021,0.0365
8/6/2021,0.0365
8/9/2021,0.0365
8/10/2021,0.0365
8/11/2021,0.0365
8/12/2021,0.0365
8/13/2021,0.0365
8/17/2021,0.0365
8/18/2021,0.0365
8/20/2021,0.0365
8/23/2021,0.0365
8/24/2021,0.0365
8/25/2021,0.0365
8/26/2021,0.0365
8/27/2021,0.0365
8/30/2021,0.0365
8/31/2021,0.0364
9/1/2021,0.0364
9/2/2021,0.0365
9/3/2021,0.0365
9/6/2021,0.0365
9/7/2021,0.0365
9/8/2021,0.0365
9/9/2021,0.0365
9/13/2021,0.0365
9/14/2021,0.0365
9/15/2021,0.0365
9/16/2021,0.0365
9/17/2021,0.0365
9/20/2021,0.0365
9/21/2021,0.0366
9/22/2021,0.0365
9/23/2021,0.0365
9/24/2021,0.0365
9/27/2021,0.0366
9/28/2021,0.0366
9/29/2021,0.0366
9/30/2021,0.0367
10/1/2021,0.0365
10/4/2021,0.0365
10/5/2021,0.0366
10/6/2021,0.0366
10/7/2021,0.0366
10/8/2021,0.0366
10/11/2021,0.0366
10/12/2021,0.0366
10/13/2021,0.0366
10/14/2021,0.0366
10/18/2021,0.0366
10/20/2021,0.0366
10/21/2021,0.0366
10/22/2021,0.0366
10/25/2021,0.0366
10/26/2021,0.0366
10/27/2021,0.0365
10/28/2021,0.0365
10/29/2021,0.0365
11/1/2021,0.0365
11/2/2021,0.0365
11/3/2021,0.0367
11/8/2021,0.0366
11/9/2021,0.0366
11/10/2021,0.0366
11/11/2021,0.0366
11/12/2021,0.0366
11/15/2021,0.0366
11/16/2021,0.0367
11/17/2021,0.0367
11/18/2021,0.0368
11/22/2021,0.0372
11/23/2021,0.0376
11/24/2021,0.0374
11/25/2021,0.0374
11/26/2021,0.0375
11/29/2021,0.0375
11/30/2021,0.0376
12/1/2021,0.0376
12/2/2021,0.0377
12/3/2021,0.0377
12/6/2021,0.0377
12/7/2021,0.0378
12/8/2021,0.0378
12/9/2021,0.0381
12/10/2021,0.0381
12/13/2021,0.0381
12/14/2021,0.0381
12/15/2021,0.0382
12/16/2021,0.0384
12/17/2021,0.039
12/20/2021,0.0388
12/21/2021,0.0395
12/22/2021,0.0392
12/23/2021,0.0396
12/24/2021,0.0394
12/27/2021,0.0394
12/28/2021,0.0396
12/29/2021,0.0394
12/30/2021,0.0395
12/31/2021,0.0396
1/3/2022,0.0394
1/4/2022,0.0395
1/5/2022,0.0394
1/6/2022,0.0395
1/7/2022,0.0396
1/10/2022,0.0396
1/11/2022,0.0397
1/12/2022,0.0396
1/13/2022,0.0395
1/14/2022,0.0396
1/17/2022,0.0396
1/18/2022,0.0397
1/19/2022,0.0401
1/20/2022,0.0405
1/21/2022,0.0406
1/24/2022,0.0406
1/25/2022,0.0407
1/27/2022,0.0406
1/28/2022,0.0405
1/31/2022,0.0403
2/1/2022,0.0405
2/2/2022,0.0406
2/3/2022,0.0404
2/4/2022,0.0406
2/8/2022,0.0405
2/9/2022,0.0406
2/10/2022,0.0406
2/11/2022,0.0405
2/14/2022,0.0405
2/15/2022,0.0404
2/16/2022,0.0405
2/17/2022,0.0404
2/18/2022,0.0405
2/21/2022,0.0405
2/22/2022,0.0405
2/23/2022,0.0405
2/24/2022,0.0404
2/25/2022,0.0404
2/28/2022,0.0405
3/2/2022,0.0405
3/3/2022,0.0406
3/4/2022,0.0406
3/7/2022,0.0407
3/8/2022,0.0406
3/9/2022,0.0407
3/10/2022,0.0407
3/11/2022,0.0405
3/14/2022,0.0405
3/15/2022,0.0405
3/16/2022,0.0405
3/17/2022,0.0407
3/21/2022,0.0406
3/22/2022,0.0406
3/23/2022,0.0405
3/24/2022,0.0405
3/25/2022,0.0405
3/28/2022,0.0405
3/29/2022,0.0405
3/30/2022,0.0405
3/31/2022,0.0411
4/4/2022,0.0406
4/5/2022,0.0407
4/6/2022,0.0407
4/7/2022,0.0407
4/8/2022,0.0409
4/11/2022,0.0412
4/12/2022,0.0411
4/13/2022,0.0412
4/18/2022,0.0411
4/19/2022,0.0411
4/20/2022,0.041
4/21/2022,0.0411
4/22/2022,0.0411
4/25/2022,0.041
4/26/2022,0.041
4/27/2022,0.0412
4/28/2022,0.0412
4/29/2022,0.0414
5/2/2022,0.0413
5/4/2022,0.0413
5/5/2022,0.0449
5/6/2022,0.0451
5/9/2022,0.0451
5/10/2022,0.0451
5/11/2022,0.0451
5/12/2022,0.0451
5/13/2022,0.0453
5/17/2022,0.0452
5/18/2022,0.0452
5/19/2022,0.0453
5/20/2022,0.0454
5/23/2022,0.0455
5/24/2022,0.0456
5/25/2022,0.0456
5/26/2022,0.0456
5/27/2022,0.0457
5/30/2022,0.0458
5/31/2022,0.0458
6/1/2022,0.046
6/2/2022,0.0459
6/3/2022,0.046
6/6/2022,0.046
6/7/2022,0.046
6/8/2022,0.0488
6/9/2022,0.0494
6/10/2022,0.0495
6/13/2022,0.0496
6/14/2022,0.0496
6/15/2022,0.0497
6/16/2022,0.0498
6/17/2022,0.0498
6/20/2022,0.05
6/21/2022,0.05
6/22/2022,0.05
6/23/2022,0.05
6/24/2022,0.0501
6/27/2022,0.0501
6/28/2022,0.0502
6/29/2022,0.0503
6/30/2022,0.0504
7/1/2022,0.0504
7/4/2022,0.0505
7/5/2022,0.0505
7/6/2022,0.0505
7/7/2022,0.0505
7/8/2022,0.0505
7/11/2022,0.0506
7/12/2022,0.0505
7/13/2022,0.0505
7/14/2022,0.0505
7/15/2022,0.0506
7/18/2022,0.0506
7/19/2022,0.0507
7/20/2022,0.0507
7/21/2022,0.0508
7/22/2022,0.0514
7/25/2022,0.0518
